x,y
-2.367165870964527130e-02,-7.940514385700225830e-02
-5.356375128030776978e-03,-5.870156735181808472e-02
-7.132999598979949951e-04,-8.951745927333831787e-02
-2.451750636100769043e-02,-5.787301808595657349e-02
-3.023355454206466675e-02,-9.697826951742172241e-02
-3.493103384971618652e-02,-5.129481852054595947e-02
-7.467560470104217529e-03,-6.265646219253540039e-02
2.824552357196807861e-04,-6.401750445365905762e-02
-2.428837679326534271e-02,-3.821151703596115112e-02
-1.394132710993289948e-02,-8.224893361330032349e-02
4.234231412410736084e-01,7.527919113636016846e-02
4.234231412410736084e-01,7.527919113636016846e-02
4.357953667640686035e-01,1.270609498023986816e-01
4.357953667640686035e-01,1.270609498023986816e-01
-1.392508950084447861e-02,-8.348711580038070679e-02
-4.039367660880088806e-02,-5.087869614362716675e-02
-1.392508950084447861e-02,-8.348711580038070679e-02
-4.039367660880088806e-02,-5.087869614362716675e-02
-8.239338174462318420e-03,-8.060050010681152344e-02
-1.150174066424369812e-03,-5.747504532337188721e-02
-1.616347581148147583e-04,-8.538359403610229492e-02
-1.382155623286962509e-02,-5.269974842667579651e-02
-4.121506586670875549e-03,-7.439617812633514404e-02
-1.795860379934310913e-02,-6.646756082773208618e-02
1.342325471341609955e-02,-6.157903000712394714e-02
-5.515879020094871521e-03,-5.690781027078628540e-02
-6.547039374709129333e-03,-4.041029885411262512e-02
1.013827510178089142e-02,-7.361751794815063477e-02
4.350029230117797852e-01,9.234813600778579712e-02
4.350029230117797852e-01,9.234813600778579712e-02
-1.748895831406116486e-02,-7.871656864881515503e-02
-4.471266642212867737e-03,-5.992405861616134644e-02
8.796477690339088440e-03,-8.751982450485229492e-02
-1.629029773175716400e-02,-5.722432583570480347e-02
-2.981388196349143982e-02,-9.317102283239364624e-02
-5.616747587919235229e-02,-7.347446680068969727e-02
-2.327992953360080719e-02,-6.769905239343643188e-02
1.048753596842288971e-02,-6.137060374021530151e-02
-8.553904481232166290e-03,-4.369552060961723328e-02
-4.712016880512237549e-02,-9.212981164455413818e-02
3.984236121177673340e-01,8.917675167322158813e-02
3.984236121177673340e-01,8.917675167322158813e-02
4.353595077991485596e-01,1.420522630214691162e-01
4.353595077991485596e-01,1.420522630214691162e-01
-1.747787185013294220e-02,-5.799024552106857300e-02
-4.540401697158813477e-02,-7.397297769784927368e-02
-1.747787185013294220e-02,-5.799024552106857300e-02
-4.540401697158813477e-02,-7.397297769784927368e-02
-1.836621202528476715e-02,-9.201610088348388672e-02
-7.592057809233665466e-03,-6.863382458686828613e-02
1.235174015164375305e-03,-8.979578316211700439e-02
-1.340795494616031647e-02,-6.657543778419494629e-02
-2.149838581681251526e-02,-9.330526739358901978e-02
-2.402724884450435638e-02,-7.854403555393218994e-02
-8.536403998732566833e-03,-7.726011425256729126e-02
8.341031149029731750e-03,-7.455894351005554199e-02
-9.669982828199863434e-03,-5.206028372049331665e-02
-2.022644318640232086e-02,-7.577496767044067383e-02
4.512349665164947510e-01,1.503011882305145264e-01
4.512349665164947510e-01,1.503011882305145264e-01
-1.169926580041646957e-02,-8.956241607666015625e-02
9.136645123362541199e-03,-6.293800473213195801e-02
8.794652298092842102e-03,-9.171096980571746826e-02
-3.436990082263946533e-04,-5.900284647941589355e-02
-1.769934035837650299e-02,-9.481704235076904297e-02
-3.532210737466812134e-02,-5.651662498712539673e-02
5.423339083790779114e-03,-6.237340718507766724e-02
1.184841804206371307e-02,-6.917852163314819336e-02
-1.741487532854080200e-03,-4.485108330845832825e-02
-5.171280354261398315e-03,-7.561245560646057129e-02
4.092457890510559082e-01,8.999269455671310425e-02
4.092457890510559082e-01,8.999269455671310425e-02
4.241200685501098633e-01,1.409045755863189697e-01
4.241200685501098633e-01,1.409045755863189697e-01
-7.323672994971275330e-03,-8.933742344379425049e-02
-2.026699669659137726e-02,-5.805179849267005920e-02
-7.323672994971275330e-03,-8.933742344379425049e-02
-2.026699669659137726e-02,-5.805179849267005920e-02
-6.735265254974365234e-03,-8.533464372158050537e-02
1.179249770939350128e-02,-5.906149744987487793e-02
8.552277460694313049e-03,-8.262924849987030029e-02
1.017579250037670135e-02,-6.043693423271179199e-02
2.359936013817787170e-03,-6.927967071533203125e-02
-2.155218087136745453e-02,-6.517226994037628174e-02
1.082069985568523407e-02,-6.250429898500442505e-02
3.435643389821052551e-03,-6.306984275579452515e-02
7.842760533094406128e-04,-4.304322972893714905e-02
7.170028984546661377e-03,-6.722371280193328857e-02
4.270633161067962646e-01,8.912967890501022339e-02
4.270633161067962646e-01,8.912967890501022339e-02
-1.024312339723110199e-02,-8.571642637252807617e-02
-2.062421292066574097e-03,-6.974391639232635498e-02
1.161590777337551117e-02,-8.796668052673339844e-02
