x,y
8.380674570798873901e-02,-1.471114158630371094e-01
9.251978993415832520e-02,-1.492400914430618286e-01
9.820003807544708252e-02,-1.450895220041275024e-01
1.005968824028968811e-01,-1.419353336095809937e-01
8.724034577608108521e-02,-1.480798870325088501e-01
1.033442765474319458e-01,-1.366683691740036011e-01
1.169479414820671082e-01,-1.259490400552749634e-01
9.789399802684783936e-02,-1.435930132865905762e-01
1.108661666512489319e-01,-1.356153786182403564e-01
1.003710925579071045e-01,-1.439137458801269531e-01
-1.114170998334884644e-01,-7.236115634441375732e-02
-1.114170998334884644e-01,-7.236115634441375732e-02
-8.487630635499954224e-02,-9.594073891639709473e-02
-8.487630635499954224e-02,-9.594073891639709473e-02
8.364817500114440918e-02,-1.460367739200592041e-01
8.681487292051315308e-02,-1.459416449069976807e-01
8.364817500114440918e-02,-1.460367739200592041e-01
8.681487292051315308e-02,-1.459416449069976807e-01
8.705600351095199585e-02,-1.473000347614288330e-01
9.323142468929290771e-02,-1.468869596719741821e-01
1.006188094615936279e-01,-1.456875205039978027e-01
9.954181313514709473e-02,-1.513697057962417603e-01
9.075280278921127319e-02,-1.493718624114990234e-01
1.090146303176879883e-01,-1.457611918449401855e-01
1.115875691175460815e-01,-1.318567395210266113e-01
1.016968041658401489e-01,-1.550810486078262329e-01
1.121638193726539612e-01,-1.417077481746673584e-01
1.080417633056640625e-01,-1.517909467220306396e-01
-1.176547929644584656e-01,-7.515485584735870361e-02
-1.176547929644584656e-01,-7.515485584735870361e-02
1.494086384773254395e-01,-2.386378645896911621e-01
1.541869342327117920e-01,-2.381164878606796265e-01
1.523698866367340088e-01,-2.315914332866668701e-01
1.482473015785217285e-01,-2.359300702810287476e-01
1.499404013156890869e-01,-2.391626834869384766e-01
1.691280901432037354e-01,-2.404921352863311768e-01
1.766400486230850220e-01,-2.291259169578552246e-01
1.581400334835052490e-01,-2.442251294851303101e-01
1.725784391164779663e-01,-2.377238869667053223e-01
1.660044342279434204e-01,-2.477863132953643799e-01
-1.172859966754913330e-01,-1.842325627803802490e-01
-1.172859966754913330e-01,-1.842325627803802490e-01
-8.494235575199127197e-02,-2.058541774749755859e-01
-8.494235575199127197e-02,-2.058541774749755859e-01
1.193034499883651733e-01,-2.430644184350967407e-01
1.125417575240135193e-01,-2.346446365118026733e-01
1.193034499883651733e-01,-2.430644184350967407e-01
1.125417575240135193e-01,-2.346446365118026733e-01
1.649004518985748291e-01,-2.422362715005874634e-01
1.641504764556884766e-01,-2.398308366537094116e-01
1.681040376424789429e-01,-2.352711260318756104e-01
1.692146062850952148e-01,-2.410263121128082275e-01
1.695175319910049438e-01,-2.434574961662292480e-01
1.832699924707412720e-01,-2.504127025604248047e-01
1.842704117298126221e-01,-2.403451800346374512e-01
1.785708218812942505e-01,-2.560713291168212891e-01
1.834668815135955811e-01,-2.485333085060119629e-01
1.834920048713684082e-01,-2.536608278751373291e-01
-1.176408976316452026e-01,-1.880110055208206177e-01
-1.176408976316452026e-01,-1.880110055208206177e-01
7.559649646282196045e-02,6.386777758598327637e-02
8.858795464038848877e-02,5.272707715630531311e-02
8.658739924430847168e-02,5.855068936944007874e-02
9.247954934835433960e-02,5.670263618230819702e-02
8.041687309741973877e-02,5.978056415915489197e-02
8.837470412254333496e-02,6.736625730991363525e-02
9.770566225051879883e-02,6.306095421314239502e-02
9.360411018133163452e-02,6.899745762348175049e-02
9.863127022981643677e-02,6.034584715962409973e-02
8.149279654026031494e-02,6.662267446517944336e-02
-5.292767309583723545e-05,1.011458039283752441e-01
-5.292767309583723545e-05,1.011458039283752441e-01
2.220976538956165314e-02,9.070408344268798828e-02
2.220976538956165314e-02,9.070408344268798828e-02
8.176060020923614502e-02,7.290264964103698730e-02
8.094417303800582886e-02,5.346969887614250183e-02
8.176060020923614502e-02,7.290264964103698730e-02
8.094417303800582886e-02,5.346969887614250183e-02
7.645431905984878540e-02,5.345593020319938660e-02
8.329003304243087769e-02,4.645889997482299805e-02
8.554162085056304932e-02,4.721270129084587097e-02
8.957184851169586182e-02,4.349482059478759766e-02
8.075068891048431396e-02,5.427075177431106567e-02
9.274950623512268066e-02,7.078652083873748779e-02
8.885154128074645996e-02,5.897743627429008484e-02
9.604856371879577637e-02,6.712220609188079834e-02
9.760570526123046875e-02,5.463981255888938904e-02
9.312407672405242920e-02,6.678178906440734863e-02
-7.095522712916135788e-03,9.191067516803741455e-02
-7.095522712916135788e-03,9.191067516803741455e-02
-1.665013879537582397e-01,2.189988344907760620e-01
-1.695970743894577026e-01,2.073083668947219849e-01
-1.646331846714019775e-01,2.153120934963226318e-01
-1.543842554092407227e-01,2.081512361764907837e-01
-1.649748235940933228e-01,2.143771350383758545e-01
-1.463597565889358521e-01,2.333458513021469116e-01
-1.403184533119201660e-01,2.393618822097778320e-01
-1.467330157756805420e-01,2.261027097702026367e-01
-1.315919607877731323e-01,2.401530742645263672e-01
-1.534696221351623535e-01,2.248997241258621216e-01
-2.118796855211257935e-01,2.353015989065170288e-01
-2.118796855211257935e-01,2.353015989065170288e-01
-1.897211819887161255e-01,2.234277874231338501e-01
-1.897211819887161255e-01,2.234277874231338501e-01
-1.592538803815841675e-01,2.045156210660934448e-01
-1.471856236457824707e-01,1.871413439512252808e-01
-1.592538803815841675e-01,2.045156210660934448e-01
-1.471856236457824707e-01,1.871413439512252808e-01
-1.570669859647750854e-01,2.202081680297851562e-01
-1.620956659317016602e-01,2.003387957811355591e-01
-1.591281443834304810e-01,2.124945521354675293e-01
-1.459754407405853271e-01,1.985673010349273682e-01
-1.576451957225799561e-01,2.127132862806320190e-01
-1.388877928256988525e-01,2.289565056562423706e-01
-1.431906968355178833e-01,2.384660094976425171e-01
-1.373342573642730713e-01,2.194242924451828003e-01
-1.267764717340469360e-01,2.301704585552215576e-01
-1.424133181571960449e-01,2.212473601102828979e-01
-2.124647647142410278e-01,2.286277264356613159e-01
-2.124647647142410278e-01,2.286277264356613159e-01
-5.873497128486633301e-01,-2.569074332714080811e-01
-6.083689332008361816e-01,-2.475395500659942627e-01
-5.315567851066589355e-01,-3.133212327957153320e-01
-6.146689653396606445e-01,-2.867156267166137695e-01
-5.714205503463745117e-01,-2.637978792190551758e-01
-5.974431633949279785e-01,-2.432562261819839478e-01
-6.353340148925781250e-01,-2.084078639745712280e-01
-5.365524888038635254e-01,-2.925017476081848145e-01
-6.260674595832824707e-01,-2.001866698265075684e-01
-5.617513060569763184e-01,-2.503655254840850830e-01
5.522287487983703613e-01,2.100784927606582642e-01
5.522287487983703613e-01,2.100784927606582642e-01
5.550146102905273438e-01,1.707496941089630127e-01
5.550146102905273438e-01,1.707496941089630127e-01
-6.069138050079345703e-01,-2.202606499195098877e-01
-6.027699112892150879e-01,-2.628416419029235840e-01
-6.069138050079345703e-01,-2.202606499195098877e-01
-6.027699112892150879e-01,-2.628416419029235840e-01
-1.274444311857223511e-01,-5.559880658984184265e-02
-1.456954330205917358e-01,-5.844279751181602478e-02
-1.326113343238830566e-01,-6.151661276817321777e-02
-1.341498494148254395e-01,-6.661090254783630371e-02
-1.274444311857223511e-01,-5.559880658984184265e-02
-1.456954330205917358e-01,-5.844279751181602478e-02
-1.326113343238830566e-01,-6.151661276817321777e-02
-1.341498494148254395e-01,-6.661090254783630371e-02
1.203828975558280945e-01,-1.273600161075592041e-01
1.158262342214584351e-01,-1.339171230792999268e-01
1.368998587131500244e-01,-1.194389611482620239e-01
1.266018301248550415e-01,-1.365790963172912598e-01
1.203207895159721375e-01,-1.376539617776870728e-01
1.317682862281799316e-01,-1.236369907855987549e-01
1.230549737811088562e-01,-1.398175656795501709e-01
1.217181161046028137e-01,-1.060848534107208252e-01
1.331576704978942871e-01,-1.320315450429916382e-01
1.267900913953781128e-01,-1.284209042787551880e-01
-1.445779502391815186e-01,-5.545487999916076660e-02
