x,y
-1.873374581336975098e+00,1.648919284343719482e-01
-2.148236036300659180e+00,5.680631399154663086e-01
-2.108655691146850586e+00,3.842450678348541260e-01
-2.090730667114257812e+00,4.785081446170806885e-01
-2.016503095626831055e+00,3.648007214069366455e-01
-1.794496655464172363e+00,1.079394519329071045e-01
-2.049895524978637695e+00,4.822629392147064209e-01
-1.988101601600646973e+00,4.074139893054962158e-01
-1.893721699714660645e+00,3.246532976627349854e-01
-1.904971241950988770e+00,3.645764291286468506e-01
8.803920745849609375e-01,1.288528919219970703e+00
8.803920745849609375e-01,1.288528919219970703e+00
8.707673549652099609e-01,1.130799412727355957e+00
8.707673549652099609e-01,1.130799412727355957e+00
-1.711011528968811035e+00,-1.673938930034637451e-01
-1.801094889640808105e+00,-5.314765870571136475e-02
-1.711011528968811035e+00,-1.673938930034637451e-01
-1.801094889640808105e+00,-5.314765870571136475e-02
-1.025736451148986816e+00,2.266741991043090820e+00
-1.198754668235778809e+00,2.692215919494628906e+00
-1.001545190811157227e+00,2.452410459518432617e+00
-1.241723656654357910e+00,2.708989143371582031e+00
-1.059141278266906738e+00,2.500241756439208984e+00
-9.800873994827270508e-01,2.272672891616821289e+00
-1.060195326805114746e+00,2.562622308731079102e+00
-1.038091182708740234e+00,2.468690395355224609e+00
-9.964963197708129883e-01,2.454685926437377930e+00
-1.074770212173461914e+00,2.483818531036376953e+00
-9.919303655624389648e-01,2.080840826034545898e+00
-9.919303655624389648e-01,2.080840826034545898e+00
-1.749261021614074707e+00,-8.122749328613281250e-01
-1.898026585578918457e+00,-6.411298513412475586e-01
-1.838671326637268066e+00,-7.617679834365844727e-01
-1.836151003837585449e+00,-7.491780519485473633e-01
-1.766410231590270996e+00,-7.347254753112792969e-01
-1.646882057189941406e+00,-8.814224004745483398e-01
-1.832349181175231934e+00,-6.321387290954589844e-01
-1.763615489006042480e+00,-7.189806699752807617e-01
-1.660080790519714355e+00,-9.277136325836181641e-01
-1.745660901069641113e+00,-7.173405885696411133e-01
1.491283893585205078e+00,2.276233136653900146e-01
1.491283893585205078e+00,2.276233136653900146e-01
1.555699825286865234e+00,1.472330689430236816e-01
1.555699825286865234e+00,1.472330689430236816e-01
-1.630100488662719727e+00,-1.148565888404846191e+00
-1.633419275283813477e+00,-1.081672787666320801e+00
-1.630100488662719727e+00,-1.148565888404846191e+00
-1.633419275283813477e+00,-1.081672787666320801e+00
-1.022544026374816895e+00,1.284003138542175293e+00
-1.148195624351501465e+00,1.518028259277343750e+00
-9.698963165283203125e-01,1.420670986175537109e+00
-1.174966216087341309e+00,1.558441638946533203e+00
-1.070947527885437012e+00,1.441841602325439453e+00
-1.088889956474304199e+00,1.340252995491027832e+00
-1.068203210830688477e+00,1.479451894760131836e+00
-1.094854950904846191e+00,1.442769408226013184e+00
-1.011194944381713867e+00,1.330513477325439453e+00
-1.110904216766357422e+00,1.428087949752807617e+00
-6.533898115158081055e-01,8.392529487609863281e-01
-6.533898115158081055e-01,8.392529487609863281e-01
-2.255687236785888672e+00,-2.417747497558593750e+00
-2.365996360778808594e+00,-2.160074234008789062e+00
-2.336140155792236328e+00,-2.220211744308471680e+00
-2.272014617919921875e+00,-2.235357761383056641e+00
-2.282399177551269531e+00,-2.206675052642822266e+00
-2.077312469482421875e+00,-2.593701124191284180e+00
-2.319932937622070312e+00,-2.137341737747192383e+00
-2.250154018402099609e+00,-2.227443933486938477e+00
-2.155565500259399414e+00,-2.473519325256347656e+00
-2.275583267211914062e+00,-2.195868015289306641e+00
2.637222766876220703e+00,1.200357079505920410e-01
2.637222766876220703e+00,1.200357079505920410e-01
2.554338932037353516e+00,2.020439505577087402e-01
2.554338932037353516e+00,2.020439505577087402e-01
-2.160930156707763672e+00,-2.486457824707031250e+00
-2.049003362655639648e+00,-2.597008228302001953e+00
-2.160930156707763672e+00,-2.486457824707031250e+00
-2.049003362655639648e+00,-2.597008228302001953e+00
-1.320739626884460449e+00,1.843883991241455078e-01
-1.412249207496643066e+00,4.583019912242889404e-01
-1.321647167205810547e+00,3.935547769069671631e-01
-1.404111504554748535e+00,4.673001468181610107e-01
-1.300996184349060059e+00,3.428964316844940186e-01
-1.151770830154418945e+00,8.342179656028747559e-02
-1.399195075035095215e+00,4.708086550235748291e-01
-1.324122071266174316e+00,3.444994390010833740e-01
-1.242534399032592773e+00,2.051379680633544922e-01
-1.335693001747131348e+00,4.195180833339691162e-01
5.283542871475219727e-01,8.837864398956298828e-01
5.283542871475219727e-01,8.837864398956298828e-01
-2.090755939483642578e+00,-1.364077448844909668e+00
-2.120342016220092773e+00,-1.307740211486816406e+00
-2.126853704452514648e+00,-1.295413136482238770e+00
-2.093364000320434570e+00,-1.326737642288208008e+00
-2.041160583496093750e+00,-1.337488293647766113e+00
-1.896496176719665527e+00,-1.544064283370971680e+00
-2.143858671188354492e+00,-1.205450654029846191e+00
-2.073086738586425781e+00,-1.268731117248535156e+00
-1.923872828483581543e+00,-1.533507704734802246e+00
-2.069119215011596680e+00,-1.291624307632446289e+00
1.974673271179199219e+00,4.052991569042205811e-01
1.974673271179199219e+00,4.052991569042205811e-01
2.036258220672607422e+00,3.860607445240020752e-01
2.036258220672607422e+00,3.860607445240020752e-01
-1.955338358879089355e+00,-1.624539852142333984e+00
-1.872773289680480957e+00,-1.712242603302001953e+00
-1.955338358879089355e+00,-1.624539852142333984e+00
-1.872773289680480957e+00,-1.712242603302001953e+00
-1.067396163940429688e+00,6.508164405822753906e-01
-1.125155329704284668e+00,8.391593694686889648e-01
-1.038396835327148438e+00,8.133141994476318359e-01
-1.147009253501892090e+00,8.251389265060424805e-01
-1.082664370536804199e+00,8.431855440139770508e-01
-9.992011785507202148e-01,6.352995634078979492e-01
-1.119784593582153320e+00,8.066453933715820312e-01
-1.076236128807067871e+00,7.501183748245239258e-01
-9.774093627929687500e-01,6.005787849426269531e-01
-1.106639742851257324e+00,8.421094417572021484e-01
1.300680637359619141e-01,1.008666396141052246e+00
1.300680637359619141e-01,1.008666396141052246e+00
4.421106338500976562e+00,-6.310901641845703125e-01
4.289967536926269531e+00,-7.451208829879760742e-01
4.279102802276611328e+00,-2.462184280157089233e-01
4.315773963928222656e+00,-4.394960403442382812e-01
4.601636886596679688e+00,-6.452174186706542969e-01
4.543475627899169922e+00,-7.601095438003540039e-01
4.540312767028808594e+00,-8.512589931488037109e-01
4.407206535339355469e+00,-3.221610486507415771e-01
4.345690727233886719e+00,-6.497704386711120605e-01
4.666741371154785156e+00,-5.251079797744750977e-01
4.584401130676269531e+00,-8.742015361785888672e-01
4.584401130676269531e+00,-8.742015361785888672e-01
4.596497058868408203e+00,-8.110861778259277344e-01
4.596497058868408203e+00,-8.110861778259277344e-01
4.540196895599365234e+00,-1.772648990154266357e-01
4.716603279113769531e+00,-3.117213845252990723e-01
4.540196895599365234e+00,-1.772648990154266357e-01
4.716603279113769531e+00,-3.117213845252990723e-01
9.810783863067626953e-01,7.337144613265991211e-01
9.620444774627685547e-01,8.382321596145629883e-01
9.601911306381225586e-01,7.415573596954345703e-01
9.700411558151245117e-01,8.709900379180908203e-01
9.810783863067626953e-01,7.337144613265991211e-01
9.620444774627685547e-01,8.382321596145629883e-01
9.601911306381225586e-01,7.415573596954345703e-01
9.700411558151245117e-01,8.709900379180908203e-01
-2.063441991806030273e+00,3.435277640819549561e-01
-2.249334335327148438e+00,5.610362291336059570e-01
-2.119293212890625000e+00,4.801838099956512451e-01
-2.110023260116577148e+00,3.948554694652557373e-01
-2.209999084472656250e+00,4.363808929920196533e-01
-2.084681034088134766e+00,2.218765616416931152e-01
-2.238344907760620117e+00,5.635787248611450195e-01
-2.195371150970458984e+00,4.790149629116058350e-01
-2.108430147171020508e+00,2.932727932929992676e-01
-2.267040729522705078e+00,4.838188588619232178e-01
1.016490340232849121e+00,9.078699350357055664e-01
9.453598260879516602e-01,8.725976943969726562e-01
9.281898736953735352e-01,8.345423936843872070e-01
9.467628002166748047e-01,8.943417072296142578e-01
9.608592987060546875e-01,8.572144508361816406e-01
1.016490340232849121e+00,9.078699350357055664e-01
9.453598260879516602e-01,8.725976943969726562e-01
9.281898736953735352e-01,8.345423936843872070e-01
9.467628002166748047e-01,8.943417072296142578e-01
9.608592987060546875e-01,8.572144508361816406e-01
1.041917085647583008e+00,7.442126274108886719e-01
1.003053784370422363e+00,1.099250793457031250e+00
9.017446041107177734e-01,8.972973823547363281e-01
9.326661825180053711e-01,1.001214742660522461e+00
9.220570325851440430e-01,9.040759801864624023e-01
1.041917085647583008e+00,7.442126274108886719e-01
1.003053784370422363e+00,1.099250793457031250e+00
9.017446041107177734e-01,8.972973823547363281e-01
9.326661825180053711e-01,1.001214742660522461e+00
9.220570325851440430e-01,9.040759801864624023e-01
-1.870894551277160645e+00,9.549683332443237305e-02
-2.001328706741333008e+00,1.911144554615020752e-01
-2.043100833892822266e+00,3.125583827495574951e-01
-2.028244972229003906e+00,2.801383435726165771e-01
-1.851934313774108887e+00,3.811934590339660645e-02
-2.158855915069580078e+00,5.445497035980224609e-01
-1.902067303657531738e+00,1.289516091346740723e-01
-1.903817296028137207e+00,1.001446843147277832e-01
-2.041274785995483398e+00,4.060954153537750244e-01
-1.987169146537780762e+00,2.922635972499847412e-01
-1.870894551277160645e+00,9.549683332443237305e-02
-2.001328706741333008e+00,1.911144554615020752e-01
-2.043100833892822266e+00,3.125583827495574951e-01
-2.028244972229003906e+00,2.801383435726165771e-01
-1.851934313774108887e+00,3.811934590339660645e-02
-2.158855915069580078e+00,5.445497035980224609e-01
-1.902067303657531738e+00,1.289516091346740723e-01
-1.903817296028137207e+00,1.001446843147277832e-01
-2.041274785995483398e+00,4.060954153537750244e-01
-1.987169146537780762e+00,2.922635972499847412e-01
-6.455372571945190430e-01,1.679072141647338867e+00
-6.734716892242431641e-01,1.829720377922058105e+00
-6.819592714309692383e-01,1.791750907897949219e+00
-7.120134830474853516e-01,1.962905526161193848e+00
-6.455372571945190430e-01,1.679072141647338867e+00
-6.734716892242431641e-01,1.829720377922058105e+00
-6.819592714309692383e-01,1.791750907897949219e+00
-7.120134830474853516e-01,1.962905526161193848e+00
-1.324153065681457520e+00,2.902489662170410156e+00
-1.439510345458984375e+00,3.033735752105712891e+00
-1.375951290130615234e+00,2.876992702484130859e+00
-1.427683353424072266e+00,3.000867605209350586e+00
-1.367244124412536621e+00,2.926419258117675781e+00
-1.343213438987731934e+00,2.832796335220336914e+00
-1.358728647232055664e+00,2.904656410217285156e+00
-1.409934401512145996e+00,2.918472528457641602e+00
-1.313844203948974609e+00,2.908580064773559570e+00
-1.303532242774963379e+00,3.046677827835083008e+00
-7.100850343704223633e-01,1.787401199340820312e+00
-7.279284000396728516e-01,1.832052588462829590e+00
-6.833533048629760742e-01,1.858076214790344238e+00
-7.549009323120117188e-01,1.902109980583190918e+00
-7.637113332748413086e-01,1.951867461204528809e+00
-7.100850343704223633e-01,1.787401199340820312e+00
-7.279284000396728516e-01,1.832052588462829590e+00
-6.833533048629760742e-01,1.858076214790344238e+00
-7.549009323120117188e-01,1.902109980583190918e+00
-7.637113332748413086e-01,1.951867461204528809e+00
1.633676886558532715e+00,-2.258225381374359131e-01
1.678884863853454590e+00,-1.689693331718444824e-01
1.683757424354553223e+00,-2.284069955348968506e-01
1.632856845855712891e+00,-9.617412835359573364e-02
1.633676886558532715e+00,-2.258225381374359131e-01
1.678884863853454590e+00,-1.689693331718444824e-01
1.683757424354553223e+00,-2.284069955348968506e-01
1.632856845855712891e+00,-9.617412835359573364e-02
-2.087690114974975586e+00,-4.630805552005767822e-01
-2.142611742019653320e+00,-3.641335964202880859e-01
-2.077073335647583008e+00,-4.043463766574859619e-01
-2.036489486694335938e+00,-5.109466314315795898e-01
-2.173562765121459961e+00,-3.990046977996826172e-01
-2.132525920867919922e+00,-5.540658831596374512e-01
-2.205215930938720703e+00,-3.312398791313171387e-01
-2.148046255111694336e+00,-3.616370856761932373e-01
-2.100018978118896484e+00,-5.769459605216979980e-01
-2.229311704635620117e+00,-2.880034744739532471e-01
1.645925164222717285e+00,3.633654117584228516e-02
1.596724867820739746e+00,-6.233912706375122070e-02
1.687751054763793945e+00,-1.127820238471031189e-01
1.622338056564331055e+00,-1.120770350098609924e-01
1.674883961677551270e+00,-6.435826420783996582e-03
1.645925164222717285e+00,3.633654117584228516e-02
1.596724867820739746e+00,-6.233912706375122070e-02
1.687751054763793945e+00,-1.127820238471031189e-01
1.622338056564331055e+00,-1.120770350098609924e-01
1.674883961677551270e+00,-6.435826420783996582e-03
1.643769979476928711e+00,-1.796072721481323242e-01
1.571812391281127930e+00,1.201478540897369385e-01
1.585525989532470703e+00,-6.057284772396087646e-02
1.552164196968078613e+00,7.046896219253540039e-02
1.593974232673645020e+00,-1.970753073692321777e-03
1.643769979476928711e+00,-1.796072721481323242e-01
1.571812391281127930e+00,1.201478540897369385e-01
1.585525989532470703e+00,-6.057284772396087646e-02
1.552164196968078613e+00,7.046896219253540039e-02
1.593974232673645020e+00,-1.970753073692321777e-03
-1.953063845634460449e+00,-6.215006113052368164e-01
-2.026758432388305664e+00,-5.686142444610595703e-01
-2.102855682373046875e+00,-4.903862178325653076e-01
-2.042688846588134766e+00,-5.970479249954223633e-01
-1.869320750236511230e+00,-7.659984827041625977e-01
-2.092911720275878906e+00,-3.891801834106445312e-01
-1.910148024559020996e+00,-6.824315190315246582e-01
-1.879758238792419434e+00,-8.102319240570068359e-01
-2.056698083877563477e+00,-3.770337700843811035e-01
-1.988736987113952637e+00,-5.495603084564208984e-01
-1.953063845634460449e+00,-6.215006113052368164e-01
-2.026758432388305664e+00,-5.686142444610595703e-01
-2.102855682373046875e+00,-4.903862178325653076e-01
-2.042688846588134766e+00,-5.970479249954223633e-01
-1.869320750236511230e+00,-7.659984827041625977e-01
-2.092911720275878906e+00,-3.891801834106445312e-01
-1.910148024559020996e+00,-6.824315190315246582e-01
-1.879758238792419434e+00,-8.102319240570068359e-01
-2.056698083877563477e+00,-3.770337700843811035e-01
-1.988736987113952637e+00,-5.495603084564208984e-01
-4.503190219402313232e-01,5.323768854141235352e-01
-4.726011455059051514e-01,6.025545597076416016e-01
-4.764585793018341064e-01,5.773037672042846680e-01
-4.935050904750823975e-01,6.713989973068237305e-01
-4.503190219402313232e-01,5.323768854141235352e-01
-4.726011455059051514e-01,6.025545597076416016e-01
-4.764585793018341064e-01,5.773037672042846680e-01
-4.935050904750823975e-01,6.713989973068237305e-01
-1.473682522773742676e+00,1.894168257713317871e+00
-1.490260124206542969e+00,1.961499094963073730e+00
-1.497979760169982910e+00,1.943191409111022949e+00
-1.448540925979614258e+00,1.929982304573059082e+00
-1.491859674453735352e+00,1.914295554161071777e+00
-1.479654669761657715e+00,1.842766880989074707e+00
-1.522487759590148926e+00,1.954579949378967285e+00
-1.556414842605590820e+00,1.991875290870666504e+00
-1.442112445831298828e+00,1.847057938575744629e+00
-1.523402094841003418e+00,2.112224817276000977e+00
-4.656118452548980713e-01,6.172307729721069336e-01
-5.113738775253295898e-01,6.124092340469360352e-01
-4.879947602748870850e-01,7.161476612091064453e-01
-5.357481241226196289e-01,6.835608482360839844e-01
-5.357619524002075195e-01,6.950038671493530273e-01
-4.656118452548980713e-01,6.172307729721069336e-01
-5.113738775253295898e-01,6.124092340469360352e-01
-4.879947602748870850e-01,7.161476612091064453e-01
-5.357481241226196289e-01,6.835608482360839844e-01
-5.357619524002075195e-01,6.950038671493530273e-01
2.707873106002807617e+00,-1.085175350308418274e-01
2.718670845031738281e+00,-2.280767858028411865e-01
2.752880334854125977e+00,-2.283455878496170044e-01
2.675527811050415039e+00,-1.862811148166656494e-01
2.707873106002807617e+00,-1.085175350308418274e-01
